Denomination,Year,Production_Numbers,Circulation_Figures
$10,2022,101913,254997
$100,2015,545302,313038
$100,2010,113429,637701
$100,2013,224349,170062
$1,2021,376051,491424
$5,2013,921921,473358
$100,2017,503304,345048
$5,2019,215616,482257
$20,2013,770948,896033
$1,2015,924827,665792
$100,2012,160155,162931
$1,2014,745241,653512
$5,2017,793574,381099
$10,2016,362613,394232
$50,2018,143295,580292
$10,2018,174253,478836
$1,2022,740839,616809
$100,2020,265560,791699
$20,2011,793400,893623
$10,2016,510191,632140
$10,2017,728777,151490
$100,2017,348082,334446
$1,2018,246984,530285
$100,2011,444271,657985
$5,2015,901547,626801
$1,2019,481094,812002
$10,2018,704271,235617
$10,2019,283645,169005
$20,2014,325273,595277
$10,2013,351009,183634
$20,2010,557439,727957
$10,2013,863766,206556
$5,2015,635340,259781
$10,2010,115741,143807
$20,2012,943800,564139
$20,2013,194275,585893
$20,2018,406130,438647
$10,2011,367247,770843
$20,2013,746915,143846
$50,2013,659338,438510
$5,2013,494956,242145
$10,2017,417414,171542
$20,2010,767939,673559
$5,2011,433526,283746
$10,2019,473758,419500
$5,2019,278877,334715
$50,2010,775525,738561
$10,2020,233847,128633
$20,2014,839883,138157
$1,2017,655040,571390
$20,2013,975531,526565
$10,2021,310536,832537
$20,2012,171892,881321
$1,2017,658218,396610
$1,2022,146774,408880
$1,2012,390795,391979
$20,2010,425029,528748
$10,2010,247069,852795
$20,2014,558396,468001
$1,2015,985359,499129
$50,2015,984200,113418
$1,2016,698786,479952
$100,2018,163003,771936
$1,2014,448115,646074
$100,2011,527225,107508
$10,2014,274743,665006
$20,2019,563155,384452
$10,2020,904014,878611
$20,2020,916276,600195
$100,2018,184917,750552
$1,2011,138429,190216
$1,2011,443619,833195
$1,2017,962755,822846
$20,2019,182727,374695
$1,2019,422953,287728
$10,2013,757481,445411
$10,2016,800713,447896
$1,2017,845347,498967
$50,2021,759246,731047
$20,2012,665978,888669
$50,2021,319058,409738
$100,2010,836108,432545
$1,2013,175523,874440
$50,2015,871871,715460
$20,2022,213417,372487
$100,2019,488490,93723
$20,2020,226491,804396
$50,2014,182119,759540
$100,2021,592967,500841
$5,2014,236253,882288
$100,2016,143349,663802
$20,2014,307650,782942
$1,2014,273986,202022
$1,2013,301816,811108
$1,2022,696001,803618
$100,2014,606501,626836
$100,2014,294792,358758
$5,2018,301471,170035
$1,2014,478624,728778
$50,2013,409538,886179
